topic_id,topic_name
494,"/Computers & Electronics/Computer Hardware/Computer Peripherals/Printers, Copiers & Fax Machines/Printers"
495,"/Computers & Electronics/Computer Hardware/Computer Peripherals/Printers, Copiers & Fax Machines/Scanners"
496,/Computers & Electronics/Computer Hardware/Computer Drives & Storage
497,/Computers & Electronics/Software/Multimedia Software
498,/Computers & Electronics/Software/Business & Productivity Software
499,/Health/Alternative & Natural Medicine
500,/Health/Medical Facilities & Services/Physical Therapy
501,/Internet & Telecom/Service Providers/Cable & Satellite Providers
502,/People & Society/Subcultures & Niche Interests
503,/People & Society/Subcultures & Niche Interests/Goth Subculture
504,/Online Communities/Blogging Resources & Services
505,/Science/Chemistry
507,/News/Gossip & Tabloid News
508,/Law & Government/Social Services
509,/People & Society/Social Sciences
510,/People & Society/Social Sciences/Demographics
511,/Health/Mental Health/Counseling Services
512,/Sports/Combat Sports/Wrestling
513,/Sports/International Sports Competitions/Olympics
514,/Sports/Combat Sports
515,/Sports/Combat Sports/Boxing
516,/Sports/Combat Sports/Martial Arts
517,/Sports/Team Sports/Rugby
518,/Sports/Individual Sports/Track & Field
519,/Sports/Individual Sports/Gymnastics
520,/People & Society/Social Sciences/Economics
521,/People & Society/Social Sciences/Political Science/International Relations
522,/Law & Government/Legal/Family Law
525,/People & Society/Men's Interests/Men's Interests (Mature)
527,/Reference/Directories & Listings
528,/People & Society/Ethnic & Identity Groups/Asians & Diaspora/South Asians & Diaspora
529,/Online Communities/Social Networks
530,/Shopping/Apparel/Undergarments
531,/Shopping/Shopping Portals
532,/Internet & Telecom/Mobile & Wireless/Mobile Apps & Add-Ons/Ringtones & Mobile Themes
533,/Reference
534,/Sports/Team Sports/Cheerleading
535,/Law & Government/Public Safety/Law Enforcement
536,/Health/Reproductive Health/Sex Education & Counseling
538,/Arts & Entertainment/Offbeat/Edgy & Bizarre
539,/Arts & Entertainment/Fun & Trivia
540,/Books & Literature/Fan Fiction
541,/Sports/Individual Sports/Running & Walking
542,/Hobbies & Leisure/Outdoors/Hiking & Camping
543,/People & Society/Social Sciences/Psychology
546,/Online Communities/Dating & Personals/Matrimonial Services
547,/People & Society/Ethnic & Identity Groups/Africans & Diaspora/African-Americans
548,/People & Society/Ethnic & Identity Groups/Latinos & Latin-Americans
549,/People & Society/Ethnic & Identity Groups/Asians & Diaspora/East Asians & Diaspora
550,/People & Society/Ethnic & Identity Groups/Jewish Culture
551,/Business & Industrial/Small Business
552,/Business & Industrial/Small Business/MLM & Business Opportunities
554,/Sports/Extreme Sports
555,/Law & Government/Government/Visa & Immigration
556,/People & Society/Ethnic & Identity Groups/Arabs & Middle Easterners
557,/Beauty & Fitness/Beauty Services & Spas/Massage Therapy
558,/Health/Reproductive Health/OBGYN
559,/Health/Health Conditions/Heart & Hypertension
560,/Food & Drink/Beverages
563,/Pets & Animals/Pets
565,/Books & Literature/Poetry
566,/Business & Industrial/Textiles & Nonwovens
567,/Shopping/Consumer Resources/Customer Services/Technical Support & Repair
568,/Sports/Animal Sports/Equestrian
569,/Arts & Entertainment/Events & Listings
571,/Health/Health Conditions/Eating Disorders
572,/News/Local News
573,/Computers & Electronics/Consumer Electronics/Camera & Photo Equipment
574,/Shopping/Photo & Video Services/Stock Photography
575,/Arts & Entertainment/Online Media/Virtual Tours
576,/Shopping/Photo & Video Services
577,/Computers & Electronics/Software/Multimedia Software/Photo & Video Software
578,"/Online Communities/Online Goodies/Skins, Themes & Wallpapers"
579,/People & Society/Ethnic & Identity Groups/Africans & Diaspora
580,/People & Society/Ethnic & Identity Groups/Asians & Diaspora/Southeast Asians & Pacific Islanders
581,/Arts & Entertainment/Performing Arts/Dance
582,/Online Communities/Online Journals & Personal Sites
585,/Arts & Entertainment/Music & Audio/Religious Music/Christian & Gospel Music
586,/Arts & Entertainment/Music & Audio/Classical Music
587,/Arts & Entertainment/Music & Audio/Country Music
588,/Arts & Entertainment/Music & Audio/Dance & Electronic Music
589,/Arts & Entertainment/Music & Audio/Jazz & Blues
590,/Arts & Entertainment/Music & Audio/Rock Music
592,/Arts & Entertainment/Music & Audio/Urban & Hip-Hop
594,/People & Society/Men's Interests
606,/Business & Industrial/Metals & Mining
607,/Pets & Animals/Pets/Exotic Pets
608,/Books & Literature/E-Books
609,/Reference/Humanities/Myth & Folklore
610,"/Autos & Vehicles/Motor Vehicles (By Type)/Trucks, Vans & SUVs"
611,/Beauty & Fitness/Fitness/Yoga & Pilates
612,/Arts & Entertainment/Entertainment Industry
613,/Arts & Entertainment/Online Media
614,/Arts & Entertainment/Events & Listings/Event Ticket Sales
615,/Arts & Entertainment/Movies/Horror Films
616,/Arts & Entertainment/Movies/Science Fiction & Fantasy Films
617,/Arts & Entertainment/Music & Audio/Music Reference/Song Lyrics & Tabs
618,/Arts & Entertainment/Music & Audio/Vocals & Show Tunes
619,/Finance/Financial Planning & Management/Retirement & Pension
620,/Business & Industrial/Business Finance/Risk Management
621,/Business & Industrial/Agriculture & Forestry/Food Production
622,/Games/Roleplaying Games
623,/Health/Aging & Geriatrics
624,/Health/Aging & Geriatrics/Alzheimer's Disease
625,/Health/Health Conditions/AIDS & HIV
626,/Health/Health Conditions/Allergies
627,/Health/Health Conditions/Respiratory Conditions/Asthma
628,/Health/Health Conditions/Arthritis
629,/Health/Health Conditions/Cold & Flu
630,/Health/Health Conditions/Blood Sugar & Diabetes
631,/Health/Health Conditions/Pain Management/Headaches & Migraines
632,/Health/Health Conditions/Infectious Diseases
633,/Health/Health Conditions/Sleep Disorders
634,/Health/Medical Facilities & Services/Doctors' Offices
635,/Health/Medical Facilities & Services/Medical Procedures
636,/Health/Men's Health
638,/Health/Health Conditions/GERD & Digestive Disorders
639,/Health/Mental Health/Anxiety & Stress
640,/Health/Mental Health/Depression
641,/Health/Health Conditions/Neurological Conditions/Learning & Developmental Disabilities
642,/Health/Health Conditions/Neurological Conditions/Learning & Developmental Disabilities/ADD & ADHD
643,/Health/Health Conditions/Heart & Hypertension/Cholesterol Issues
644,/Health/Public Health/Occupational Health & Safety
645,/Health/Pediatrics
646,/Health/Pharmacy/Drugs & Medications
647,/Health/Reproductive Health/Infertility
648,/Health/Women's Health
649,/Health/Nursing/Assisted Living & Long Term Care
650,/Business & Industrial/Construction & Maintenance/Building Materials & Supplies
651,/Business & Industrial/Construction & Maintenance/Civil Engineering
652,/Business & Industrial/Construction & Maintenance/Construction Consulting & Contracting
653,/Arts & Entertainment/Visual Art & Design/Design
654,/Arts & Entertainment/Visual Art & Design/Design/Graphic Design
655,/Arts & Entertainment/Visual Art & Design/Design/Industrial & Product Design
656,/Arts & Entertainment/Visual Art & Design/Design/Interior Design
657,/Business & Industrial/Energy & Utilities/Renewable & Alternative Energy
658,/Business & Industrial/Energy & Utilities/Electricity
659,/Business & Industrial/Energy & Utilities/Oil & Gas
660,/Business & Industrial/Energy & Utilities/Waste Management
661,/Business & Industrial/Manufacturing/Factory Automation
662,/Business & Industrial/Transportation & Logistics/Aviation
663,"/Business & Industrial/Transportation & Logistics/Mail & Package Delivery/Couriers, Messengers & Home Delivery Services"
664,/Business & Industrial/Transportation & Logistics/Distribution & Logistics
665,/Business & Industrial/Transportation & Logistics/Maritime Transport
666,/Business & Industrial/Transportation & Logistics/Rail Transport
667,/Business & Industrial/Transportation & Logistics/Urban Transport
668,/Business & Industrial/Aerospace & Defense/Space Technology
669,/Business & Industrial/Aerospace & Defense/Defense Industry
670,/Business & Industrial/Chemicals Industry/Agrochemicals
671,/Business & Industrial/Chemicals Industry/Cleaning Agents
672,/Business & Industrial/Chemicals Industry/Coatings & Adhesives
673,/Business & Industrial/Chemicals Industry/Dyes & Pigments
674,/Business & Industrial/Chemicals Industry/Plastics & Polymers
675,/Internet & Telecom/Web Services/Web Stats & Analytics
676,/People & Society/Subcultures & Niche Interests/Science Fiction & Fantasy
677,/People & Society/Disabled & Special Needs
678,/Hobbies & Leisure/Special Occasions/Holidays & Seasonal Events
681,/People & Society/Ethnic & Identity Groups/Indigenous Peoples
682,/People & Society/Ethnic & Identity Groups/Eastern Europeans
683,/People & Society/Ethnic & Identity Groups/Western Europeans
685,/Reference/Geographic Reference/Maps/Traffic & Public Transit
686,/Business & Industrial/Construction & Maintenance/Urban & Regional Planning
687,/Real Estate/Property Development
688,/Hobbies & Leisure/Outdoors
689,/Hobbies & Leisure/Water Activities/Surf & Swim
690,/Reference/General Reference/Biographies & Quotations
691,/Reference/General Reference/Calculators & Reference Tools
692,/Reference/General Reference/Dictionaries & Encyclopedias
693,/Reference/General Reference/Forms Guides & Templates
694,"/Reference/General Reference/How-To, DIY & Expert Content"
695,/Reference/General Reference/Time & Calendars
696,/Shopping/Luxury Goods
697,/Shopping/Apparel/Footwear
699,/Sports/Team Sports/Volleyball
700,/Jobs & Education/Education/Teaching & Classroom Resources
701,/Law & Government/Legal/Labor & Employment Law
702,/Law & Government/Government/Royalty
703,/People & Society/Social Issues & Advocacy/Work & Labor Issues
704,/Law & Government/Public Safety/Crime & Justice
705,/Law & Government/Public Safety/Security Products & Services
706,/Law & Government/Social Services/Welfare & Unemployment
707,/Travel/Specialty Travel/Adventure Travel
708,/Travel/Bus & Rail
717,/Computers & Electronics/Computer Hardware/Computer Components
718,/Business & Industrial/Business Services/Outsourcing
719,/Business & Industrial/Business Services/Physical Asset Management
720,/Business & Industrial/Business Services/Quality Control & Tracking
721,/Business & Industrial/Business Operations/Management/Business Process
722,/Business & Industrial/Business Operations/Management/Strategic Planning
723,/Business & Industrial/Business Operations/Human Resources/Compensation & Benefits
724,/Business & Industrial/Business Operations/Human Resources/Payroll Services
725,/Business & Industrial/Business Services/Writing & Editing Services
726,/Business & Industrial/Business Services/Fire & Security Services
727,/Business & Industrial/Small Business/Home Office
728,/Computers & Electronics/Computer Hardware/Computer Servers
729,/Computers & Electronics/Computer Hardware/Computer Drives & Storage/Network Storage
730,/Computers & Electronics/Programming/Development Tools
731,/Computers & Electronics/Programming/C & C++
732,/Computers & Electronics/Programming/Java (Programming Language)
733,/Computers & Electronics/Programming/Scripting Languages
734,/Computers & Electronics/Programming/Windows & .NET
735,/Computers & Electronics/Software/Operating Systems/Mac OS
736,/Computers & Electronics/Software/Operating Systems/Linux & Unix
737,/Computers & Electronics/Software/Operating Systems/Windows OS
739,/Computers & Electronics/Computer Hardware/Hardware Modding & Tuning
740,/Computers & Electronics/Computer Hardware/Computer Components/Sound & Video Cards
741,/Computers & Electronics/Computer Hardware/Computer Components/Chips & Processors
742,/Computers & Electronics/Electronics & Electrical/Electronic Components
743,/Computers & Electronics/Electronics & Electrical/Electromechanical Devices
744,/Computers & Electronics/Electronics & Electrical/Optoelectronics & Fiber
745,/Computers & Electronics/Electronics & Electrical/Power Supplies
746,/Computers & Electronics/Electronics & Electrical/Electrical Test & Measurement
747,/Business & Industrial/Agriculture & Forestry/Aquaculture
748,/Business & Industrial/Agriculture & Forestry/Agricultural Equipment
749,/Business & Industrial/Agriculture & Forestry/Crops & Seed
750,/Business & Industrial/Agriculture & Forestry/Forestry
751,/Business & Industrial/Agriculture & Forestry/Horticulture
752,/Business & Industrial/Agriculture & Forestry/Livestock
784,/News/Business News
785,/News/Technology News
786,/Hobbies & Leisure/Paintball
787,/Hobbies & Leisure/Radio Control & Modeling
788,/Science/Biological Sciences/Anatomy
791,/Jobs & Education/Education/Homeschooling
792,/Law & Government/Legal/Legal Education
793,/Law & Government/Military/Veterans
794,/Computers & Electronics/Consumer Electronics/GPS & Navigation
799,/Business & Industrial/Business Education
800,/Business & Industrial/Business Services/Knowledge Management
801,/Business & Industrial/Business Operations/Management/Supply Chain Management
802,/Jobs & Education/Jobs/Job Listings/IT & Technical Jobs
803,/Autos & Vehicles/Vehicle Shows
804,/Computers & Electronics/Software/Educational Software
805,/Computers & Electronics/Software/Multimedia Software/Desktop Publishing/Fonts
806,/Autos & Vehicles/Custom & Performance Vehicles
807,/Computers & Electronics/Software/Internet Software
808,/Computers & Electronics/Software/Internet Software/Content Management
809,/Arts & Entertainment/Music & Audio/Podcasts
810,/Autos & Vehicles/Motor Vehicles (By Type)/Hybrid & Alternative Vehicles
811,/Finance/Credit & Lending/Credit Cards
812,/Finance/Credit & Lending/Debt Management
813,/Finance/Credit & Lending/Loans/Student Loans & College Financing
814,/Finance/Investing/Currencies & Foreign Exchange
815,/Autos & Vehicles/Motor Vehicles (By Brand)
816,/Business & Industrial/Hospitality Industry/Food Service/Restaurant Supply
817,/Health/Health Conditions/Injury
818,/Health/Health Conditions/Obesity
819,/Health/Health Conditions/Pain Management
